name,first_seen,scan_date,size,trojan,virus,worm,backdoor,label
../data/2017-11-20/7c050a3979bfac335295d117810caf8e21330ff5ec5f53b8c1979ec310e881f0,2016-03-10 00:25:47,2016-07-03 02:51:22,380928,27,0,0,0,trojan
../data/2017-11-20/33cf9f7431e924554cb2397bf7fbe110ce4870197fba30c379be900f7e671da2,2016-03-23 12:47:27,2016-06-23 19:06:01,372736,27,0,0,0,trojan
../data/2017-11-20/1e3db5adf68e76be1a89b5f8606ece6e44756c7a5010829856e29f86aca742b7,2016-04-07 16:45:47,2016-04-07 16:45:47,278528,10,0,0,0,trojan
../data/2017-11-20/8a81d2fc329eb0fbe03560671bb7ee67385723c67ccee67112f0970af5c37aed,2016-03-08 14:57:09,2016-04-13 02:36:24,360448,17,0,0,0,trojan
../data/2017-11-20/dba38bc31ef9f61eb6541638cd9f9acaca372eff88dea418111d408ddfb53e9d,2016-02-12 20:17:39,2016-03-06 10:18:13,618496,28,0,0,0,trojan
../data/2017-11-20/981baff19ee4f079c15cf4539ce66f455250394aa6d86d54428a7a9b82aa6aae,2016-03-14 20:25:24,2016-03-14 20:25:24,339968,26,0,0,0,trojan
../data/2017-11-20/49a2e3ec6a6cb71149a15b87630ea514f68f5c4ed9bca6a39e98c01389bce08b,2016-04-11 00:06:24,2016-04-11 00:06:24,282624,8,0,0,0,trojan
../data/2017-11-20/5844077e8c5e781826ef421ac5bae6f096e86054388b937fbe12f54813183a24,2016-03-13 08:42:26,2016-05-12 01:51:37,335872,19,0,0,0,trojan
../data/2017-11-20/8dffe07fe9f12528323e066708855aede8d7ecb1f03658ba2d6bead75f3fdab6,2016-03-15 21:26:02,2016-04-18 12:40:23,326144,28,0,0,0,trojan
../data/2017-11-20/caaa467c71cf46e5bfd65a33ac9011aba09c93f1d4f26b4e32c0d421f4a6a87f,2016-04-11 01:37:46,2016-04-11 01:37:46,278528,11,0,0,0,trojan
../data/2017-11-20/a2d3b500bda8c0755d5aa167b19143f63740ce747c808518dec18a3df677e857,2017-02-26 22:57:58,2017-03-28 05:37:19,234681,28,0,0,0,trojan
../data/2017-11-20/92fdae972ec4bbd0cd01ff139fc5c4f08f917ab1c052ea8aa4f1079580529821,2016-05-27 08:49:37,2017-08-06 02:17:37,160840,22,0,0,0,trojan
../data/2017-11-20/dff690bc4786a9ff16837cab7725d068ee7089d4e6bcaebe5f91a51644c68fc5,2015-11-30 09:40:22,2016-08-25 18:50:50,264579,22,0,0,0,trojan
../data/2017-11-20/3fe7e1bec601cb28cc37e5ed9fa157cfad3f129b03e2f0527e5a55011542ff2d,2016-02-23 17:20:12,2016-05-02 07:29:04,335872,29,0,0,0,trojan
../data/2017-11-20/e6345020e450f1c03344654117221806c01cbe5cd43bc0fac0d0ed12fa768664,2017-02-26 22:23:47,2017-02-28 03:11:59,262329,22,0,0,1,trojan
../data/2017-11-20/f1f71d70fb456d2e3ea28e1fef45d73c32da2746d50de7ee197fe053952bda09,2016-03-09 05:10:06,2016-06-17 09:57:00,491520,17,0,0,0,trojan
../data/2017-11-20/6d0bf50cf454c3095cad1747e85d94986d6c1ea9a9229a1e014c57c764efee4b,2016-03-08 15:47:25,2016-04-16 06:55:55,356352,18,0,0,0,trojan
../data/2017-11-20/8d46084c77fe604a32c8cdcf36677158aa734f3b59a4240cfadf4714946d2205,2016-04-01 10:52:43,2016-05-06 06:56:41,188416,19,0,0,0,trojan
../data/2017-11-20/810dd58a9015d90deea69a2bc79e2243fee07619808e356858c17f233791be01,2016-03-17 20:30:07,2016-07-15 13:42:56,348975,14,0,1,0,trojan
../data/2017-11-20/2b8d47df8bc2b266e9548782f358d17f260cfa402e391050f87095abdb395506,2017-07-06 00:31:21,2017-07-06 00:31:21,291843,29,0,0,0,trojan
../data/2017-11-20/3a4e2c4cf639ec341443b0d02321f024cb6755f59e61ba2d2a64dd4427344745,2016-03-30 14:56:43,2016-04-06 00:43:47,184320,22,0,0,0,trojan
../data/2017-11-20/c2be437e13edce7a9d2b1b8fb96e2bbc9658013d2e6fc2cd3a66a3e697e5b489,2017-11-05 02:49:41,2017-11-06 15:38:30,262329,27,0,0,0,trojan
../data/2017-11-20/e598e14e3308fcc3fdc4179cdb86de85856c6aae60d368b91279dfdbb20c23f6,2017-11-06 05:08:06,2017-11-06 05:08:06,387669,19,0,0,0,trojan
../data/2017-11-20/f69edf352cdca309c7faa71f87a429daf2b46e4ae6ed85a25ff03aa34b4702c4,2016-02-26 00:16:25,2016-02-27 00:32:57,393216,7,0,0,0,trojan
../data/2017-11-20/9e26442b44a9a1e1ba7596ddb2dc2c30a79f6f0485e3da0634bef6973c1b8f10,2017-01-23 23:18:02,2017-09-26 13:32:31,409088,29,0,0,0,trojan
../data/2017-11-20/9ff9d7764498837df65a24190e58e5183dee6ae067309b91a2211b8a06a9642d,2016-03-10 15:22:57,2016-06-21 10:33:45,335872,28,0,0,0,trojan
../data/2017-11-20/93707e6721e38d2ea13935e19ba3f216c3ac030cc2b1bd0606f05905706be3ed,2016-03-22 19:30:25,2016-03-29 19:30:54,380928,25,0,0,0,trojan
../data/2017-11-20/72ebc64f86ef3c07e200b7b575c87baec6b150340b58dc948d4c15390a7a52a5,2016-03-01 20:30:49,2016-03-08 20:31:58,434176,25,0,0,0,trojan
../data/2017-11-20/0d80447ad564ffd0c40cc71213787f823de1b058dc1aa856aa67f438dd51d537,2016-11-03 06:48:18,2016-11-10 06:50:17,255137,17,1,0,0,trojan
../data/2017-11-20/510b5f9f307411711c4c2e6e67372d4f2f7f11533a63ae4236ee75ef75c95b66,2016-03-05 22:40:40,2017-04-29 14:55:01,220127,26,0,0,0,trojan
../data/2017-11-20/2352102c0c5e88ba1694636082b7f1447365e2d4616e08ea1f2d32b0a5c7e3f1,2016-03-01 05:08:38,2016-03-08 05:32:26,438272,14,0,0,0,trojan
../data/2017-11-20/0a630522fccc4341ce0ea4b21dc490a2f32bb8f89504758480e03cec55962863,2016-02-13 13:58:28,2016-02-20 14:01:02,630784,17,0,0,0,trojan
../data/2017-11-20/a261d7a919495ac349c125dadf89cc557352a7d2feedf3898fa5e320c4c75efa,2016-04-20 08:38:43,2016-04-20 08:38:43,311296,19,0,0,0,trojan
../data/2017-11-20/f23d4973172af4d11221b2f912ec47a68457958f70798caa5d09e44ef4764a77,2017-04-02 04:27:14,2017-04-02 04:27:14,512425,21,1,0,0,trojan
../data/2017-11-20/e3eea9959d923ef2afb698f92bca7bf51f698834f7696bed24d1dd31e467f8bc,2016-03-01 01:19:37,2017-04-29 14:29:45,434176,29,0,0,0,trojan
../data/2017-11-20/02b35085da209f748ad5771f81d9fde2c0c4133e7e9e690773fdece4afcc3197,2017-10-22 20:36:48,2017-11-10 14:11:11,857600,20,0,0,1,trojan
../data/2017-11-20/03d837a46fec69e6d3973dcebcc50de0ab922f216330d2a9a633506bfaddd1e8,2016-03-15 11:28:28,2016-04-29 13:34:04,323584,24,0,0,0,trojan
